character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Ater,Stormrage,2022-11-01,00:50:45,Mechagon Junkyard,YARD,22,1,162.5,00:30:32,1832307,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10351902-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-31,23:37:50,Iron Docks,ID,21,1,155.1,00:29:49,1789549,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10347697-21-iron-docks
Ater,Stormrage,2022-10-31,22:30:51,Mechagon Junkyard,YARD,11,3,110.0,00:15:24,924916,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10343015-11-operation-mechagon-junkyard
Ater,Stormrage,2022-10-31,21:52:27,Tazavesh: Streets of Wonder,STRT,8,3,85.0,00:18:25,1105846,2340999,Tyrannical,Inspiring,Quaking,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10340372-8-tazavesh-streets-of-wonder
Ater,Stormrage,2022-10-31,21:21:35,Tazavesh: So'leah's Gambit,GMBT,5,3,65.0,00:11:35,695801,1800999,Tyrannical,Inspiring,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10337720-5-tazavesh-soleahs-gambit
Ater,Stormrage,2022-10-31,20:10:50,Return to Karazhan: Upper,UPPR,2,3,45.0,00:15:24,924746,2100999,Tyrannical,not_active,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10331728-2-return-to-karazhan-upper
Ater,Stormrage,2022-10-25,06:06:12,Iron Docks,ID,20,1,150.5,00:28:41,1721780,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9882949-20-iron-docks
Ater,Stormrage,2022-10-22,08:42:32,Mechagon Junkyard,YARD,22,2,163.9,00:26:09,1569958,2280999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9755196-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-14,10:29:21,Mechagon Junkyard,YARD,22,1,161.6,00:33:01,1981207,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9361658-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-05,06:23:28,Tazavesh: Streets of Wonder,STRT,22,1,161.3,00:34:50,2090769,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8772637-22-tazavesh-streets-of-wonder
Ater,Stormrage,2022-11-04,20:38:24,Grimrail Depot,GD,13,2,119.1,00:20:13,1213097,1800999,Fortified,Sanguine,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10613853-13-grimrail-depot
