character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Brindar,Tichondrius,2022-10-31,04:25:16,Mechagon Junkyard,YARD,2,3,45.0,00:15:47,947767,2280999,Tyrannical,not_active,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10292570-2-operation-mechagon-junkyard
Brindar,Tichondrius,2022-10-20,06:41:31,Return to Karazhan: Lower,LOWR,20,0,144.2,00:44:43,2683239,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9676582-20-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-14,09:34:36,Mechagon Junkyard,YARD,21,2,157.9,00:29:06,1746155,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9360628-21-operation-mechagon-junkyard
Brindar,Tichondrius,2022-10-11,06:35:21,Return to Karazhan: Lower,LOWR,15,1,127.0,00:35:18,2118486,2520999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9185889-15-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-01,00:59:28,Grimrail Depot,GD,22,1,161.0,00:27:29,1649940,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8464313-22-grimrail-depot
Brindar,Tichondrius,2022-09-26,05:36:31,Iron Docks,ID,22,1,160.2,00:29:26,1766526,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8137669-22-iron-docks
Brindar,Tichondrius,2022-09-26,04:59:15,Return to Karazhan: Upper,UPPR,21,1,156.7,00:30:21,1821084,2100999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8136036-21-return-to-karazhan-upper
Brindar,Tichondrius,2022-09-26,04:10:20,Grimrail Depot,GD,20,2,153.3,00:22:10,1330170,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8133771-20-grimrail-depot
Brindar,Tichondrius,2022-09-18,08:16:15,Mechagon Workshop,WORK,20,0,142.8,00:37:32,2252301,1920999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7423945-20-operation-mechagon-workshop
Brindar,Tichondrius,2022-09-14,02:04:38,Tazavesh: So'leah's Gambit,GMBT,21,0,147.4,00:36:19,2179181,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7029639-21-tazavesh-soleahs-gambit
Brindar,Tichondrius,2022-11-10,05:16:36,Return to Karazhan: Upper,UPPR,18,2,143.8,00:24:30,1470162,2100999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10967138-18-return-to-karazhan-upper
Brindar,Tichondrius,2022-11-10,04:39:14,Tazavesh: So'leah's Gambit,GMBT,17,2,138.0,00:22:55,1375745,1800999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10966115-17-tazavesh-soleahs-gambit
Brindar,Tichondrius,2022-11-10,04:04:18,Mechagon Junkyard,YARD,15,2,130.0,00:22:53,1373030,2280999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10964921-15-operation-mechagon-junkyard
