character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Doofydoodler,Tichondrius,2022-10-22,08:02:59,Tazavesh: Streets of Wonder,STRT,20,2,153.4,00:28:26,1706030,2340999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9754579-20-tazavesh-streets-of-wonder
Doofydoodler,Tichondrius,2022-10-11,04:57:49,Mechagon Workshop,WORK,15,2,128.5,00:23:10,1390616,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9182574-15-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-10-02,00:00:04,Mechagon Workshop,WORK,22,0,154.8,00:32:33,1953560,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8537218-22-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-09-28,01:28:41,Mechagon Junkyard,YARD,22,2,163.8,00:26:20,1580923,2280999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8280530-22-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-27,08:45:53,Grimrail Depot,GD,16,2,134.9,00:18:09,1089102,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8221732-16-grimrail-depot
Doofydoodler,Tichondrius,2022-09-20,04:11:44,Return to Karazhan: Lower,LOWR,18,1,140.4,00:40:36,2436981,2520999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7610275-18-return-to-karazhan-lower
Doofydoodler,Tichondrius,2022-09-13,01:54:58,Mechagon Junkyard,YARD,17,2,138.6,00:27:01,1621893,2280999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6918933-17-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-05,07:43:45,Iron Docks,ID,15,1,127.1,00:24:59,1499260,1800999,Tyrannical,Raging,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6015301-15-iron-docks
Doofydoodler,Tichondrius,2022-08-30,07:33:56,Tazavesh: So'leah's Gambit,GMBT,15,2,127.7,00:23:35,1415230,1800999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/5193035-15-tazavesh-soleahs-gambit
Doofydoodler,Tichondrius,2022-08-23,05:23:26,Return to Karazhan: Upper,UPPR,15,3,130.0,00:20:22,1222374,2100999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3988041-15-return-to-karazhan-upper
