character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Mostpaster,Tichondrius,2022-10-13,07:11:19,Return to Karazhan: Lower,LOWR,12,2,113.9,00:28:58,1738365,2520999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9306897-12-return-to-karazhan-lower
Mostpaster,Tichondrius,2022-10-13,06:22:40,Mechagon Workshop,WORK,12,1,112.0,00:26:53,1613873,1920999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9306028-12-operation-mechagon-workshop
Mostpaster,Tichondrius,2022-10-13,05:42:07,Iron Docks,ID,6,2,69.4,00:19:30,1170581,1800999,Tyrannical,Bursting,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/9305034-6-iron-docks
Mostpaster,Tichondrius,2022-09-20,04:43:48,Iron Docks,ID,16,2,133.1,00:22:34,1354059,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7612286-16-iron-docks
Mostpaster,Tichondrius,2022-09-13,03:09:20,Return to Karazhan: Lower,LOWR,15,1,126.6,00:36:30,2190704,2520999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6924884-15-return-to-karazhan-lower
Mostpaster,Tichondrius,2022-09-06,06:49:31,Tazavesh: So'leah's Gambit,GMBT,15,1,127.2,00:24:43,1483312,1800999,Tyrannical,Raging,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6148598-15-tazavesh-soleahs-gambit
Mostpaster,Tichondrius,2022-08-24,20:50:14,Grimrail Depot,GD,15,1,127.3,00:24:36,1476780,1800999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/4267103-15-grimrail-depot
Mostpaster,Tichondrius,2022-08-24,20:05:54,Mechagon Junkyard,YARD,13,2,119.0,00:25:59,1559772,2280999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/4267102-13-operation-mechagon-junkyard
Mostpaster,Tichondrius,2022-08-21,21:10:19,Tazavesh: Streets of Wonder,STRT,13,2,118.3,00:28:43,1723099,2340999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3762079-13-tazavesh-streets-of-wonder
Mostpaster,Tichondrius,2022-08-21,20:31:26,Mechagon Junkyard,YARD,8,2,84.7,00:23:36,1416558,2280999,Tyrannical,Bolstering,Explosive,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/3754313-8-operation-mechagon-junkyard
