character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Tauryy,Shattered-Halls,2022-10-26,09:53:35,Iron Docks,ID,15,2,127.7,00:23:30,1410017,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9923563-15-iron-docks
Tauryy,Shattered-Halls,2022-10-22,10:03:20,Iron Docks,ID,20,1,152.3,00:24:33,1473306,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756888-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,09:23:28,Iron Docks,ID,20,1,151.8,00:25:46,1546833,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715429-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,08:54:00,Return to Karazhan: Upper,UPPR,20,2,153.0,00:26:43,1603658,2100999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715013-20-return-to-karazhan-upper
Tauryy,Shattered-Halls,2022-10-21,08:21:54,Grimrail Depot,GD,21,2,158.9,00:20:36,1236928,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9714644-21-grimrail-depot
Tauryy,Shattered-Halls,2022-10-13,03:47:53,Iron Docks,ID,17,1,136.6,00:26:15,1575768,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9301744-17-iron-docks
Tauryy,Shattered-Halls,2022-10-10,09:58:46,Grimrail Depot,GD,23,2,168.9,00:20:42,1242372,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9122769-23-grimrail-depot
Tauryy,Shattered-Halls,2022-10-10,09:22:11,Mechagon Workshop,WORK,22,1,162.0,00:26:54,1614169,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9121854-22-operation-mechagon-workshop
Tauryy,Shattered-Halls,2022-10-10,08:40:18,Tazavesh: So'leah's Gambit,GMBT,22,1,162.4,00:24:13,1453283,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9120504-22-tazavesh-soleahs-gambit
Tauryy,Shattered-Halls,2022-10-09,05:03:40,Grimrail Depot,GD,22,0,151.0,00:39:35,2375472,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9036557-22-grimrail-depot
