character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Tauryy,Tichondrius,2022-11-01,04:18:11,Grimrail Depot,GD,19,2,147.7,00:23:34,1414974,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10362264-19-grimrail-depot
Tauryy,Tichondrius,2022-11-01,03:48:04,Mechagon Workshop,WORK,18,1,141.7,00:27:37,1657485,1920999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10360881-18-operation-mechagon-workshop
Tauryy,Tichondrius,2022-10-31,02:57:27,Return to Karazhan: Upper,UPPR,20,2,153.2,00:26:06,1566458,2100999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10288281-20-return-to-karazhan-upper
Tauryy,Tichondrius,2022-10-31,01:46:43,Iron Docks,ID,23,1,165.9,00:27:55,1675665,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10284967-23-iron-docks
Tauryy,Tichondrius,2022-10-30,22:02:25,Mechagon Junkyard,YARD,22,1,161.4,00:33:46,2026017,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10269764-22-operation-mechagon-junkyard
Tauryy,Tichondrius,2022-10-30,21:17:12,Grimrail Depot,GD,20,2,154.5,00:19:18,1158699,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10265280-20-grimrail-depot
Tauryy,Tichondrius,2022-10-30,02:01:38,Return to Karazhan: Lower,LOWR,19,1,145.8,00:39:13,2353408,2520999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10198150-19-return-to-karazhan-lower
Tauryy,Tichondrius,2022-10-29,08:45:22,Mechagon Junkyard,YARD,2,3,45.0,00:14:33,873173,2280999,Tyrannical,not_active,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10131488-2-operation-mechagon-junkyard
Tauryy,Tichondrius,2022-10-28,10:42:10,Tazavesh: Streets of Wonder,STRT,22,2,164.9,00:23:49,1429873,2340999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10062013-22-tazavesh-streets-of-wonder
Tauryy,Tichondrius,2022-10-28,03:47:45,Mechagon Junkyard,YARD,19,2,147.7,00:29:56,1796581,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10050631-19-operation-mechagon-junkyard
