character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Whizzletit,Tichondrius,2022-10-31,05:38:46,Tazavesh: Streets of Wonder,STRT,8,3,85.0,00:18:59,1139182,2340999,Tyrannical,Inspiring,Quaking,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10294959-8-tazavesh-streets-of-wonder
Whizzletit,Tichondrius,2022-10-31,05:09:18,Iron Docks,ID,5,3,65.0,00:13:15,795508,1800999,Tyrannical,Inspiring,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10293976-5-iron-docks
Whizzletit,Tichondrius,2022-10-30,20:02:38,Return to Karazhan: Upper,UPPR,14,0,113.8,00:38:28,2308289,2100999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10258497-14-return-to-karazhan-upper
Whizzletit,Tichondrius,2022-10-30,19:15:19,Tazavesh: Streets of Wonder,STRT,12,2,114.7,00:24:26,1466758,2340999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10253745-12-tazavesh-streets-of-wonder
Whizzletit,Tichondrius,2022-10-28,09:54:35,Return to Karazhan: Lower,LOWR,19,1,145.7,00:39:43,2383604,2520999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10060570-19-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-28,08:39:41,Tazavesh: So'leah's Gambit,GMBT,22,1,161.9,00:25:24,1524193,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10058719-22-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-10-22,09:29:00,Return to Karazhan: Lower,LOWR,20,1,151.1,00:38:09,2289257,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756017-20-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-13,01:35:55,Grimrail Depot,GD,24,1,171.7,00:25:50,1550181,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9297076-24-grimrail-depot
Whizzletit,Tichondrius,2022-10-11,07:19:30,Iron Docks,ID,18,1,142.3,00:24:29,1469414,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9187205-18-iron-docks
Whizzletit,Tichondrius,2022-10-04,09:38:57,Tazavesh: So'leah's Gambit,GMBT,25,1,175.3,00:29:14,1754538,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8709170-25-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-11-08,07:17:59,Iron Docks,ID,8,2,84.5,00:19:09,1149917,1800999,Fortified,Sanguine,Grievous,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10863694-8-iron-docks
Whizzletit,Tichondrius,2022-11-08,06:52:49,Grimrail Depot,GD,5,2,64.8,00:18:33,1113309,1800999,Fortified,Sanguine,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10863243-5-grimrail-depot
Whizzletit,Tichondrius,2022-11-10,22:02:53,Iron Docks,ID,21,1,156.8,00:25:42,1542947,1800999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10999219-21-iron-docks
