character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Whizzletoot,Tichondrius,2022-10-14,03:59:03,Return to Karazhan: Lower,LOWR,17,1,136.1,00:38:13,2293200,2520999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9353358-17-return-to-karazhan-lower
Whizzletoot,Tichondrius,2022-10-12,05:24:36,Grimrail Depot,GD,15,2,129.0,00:20:29,1229016,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9248740-15-grimrail-depot
Whizzletoot,Tichondrius,2022-10-11,05:49:28,Tazavesh: Streets of Wonder,STRT,15,2,128.9,00:26:58,1618509,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9184331-15-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-10-08,05:05:24,Grimrail Depot,GD,5,2,64.9,00:18:15,1095638,1800999,Fortified,Raging,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/8962406-5-grimrail-depot
Whizzletoot,Tichondrius,2022-10-04,00:56:16,Mechagon Workshop,WORK,18,1,141.3,00:28:34,1714542,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8688378-18-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-30,02:52:21,Tazavesh: Streets of Wonder,STRT,16,2,133.8,00:27:04,1624115,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406850-16-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-09-30,02:05:28,Mechagon Workshop,WORK,15,1,126.7,00:27:39,1659948,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406917-15-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-28,07:31:11,Grimrail Depot,GD,17,1,135.2,00:29:38,1778501,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8293215-17-grimrail-depot
Whizzletoot,Tichondrius,2022-09-27,07:27:44,Tazavesh: So'leah's Gambit,GMBT,15,1,126.1,00:27:25,1645506,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8220561-15-tazavesh-soleahs-gambit
Whizzletoot,Tichondrius,2022-09-20,05:57:23,Tazavesh: So'leah's Gambit,GMBT,17,1,136.9,00:25:27,1527850,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7617529-17-tazavesh-soleahs-gambit
