character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Ater,Stormrage,2022-11-01,00:50:45,Mechagon Junkyard,YARD,22,1,162.5,00:30:32,1832307,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10351902-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-31,23:37:50,Iron Docks,ID,21,1,155.1,00:29:49,1789549,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10347697-21-iron-docks
Ater,Stormrage,2022-10-31,22:30:51,Mechagon Junkyard,YARD,11,3,110.0,00:15:24,924916,2280999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10343015-11-operation-mechagon-junkyard
Ater,Stormrage,2022-10-31,21:52:27,Tazavesh: Streets of Wonder,STRT,8,3,85.0,00:18:25,1105846,2340999,Tyrannical,Inspiring,Quaking,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10340372-8-tazavesh-streets-of-wonder
Ater,Stormrage,2022-10-31,21:21:35,Tazavesh: So'leah's Gambit,GMBT,5,3,65.0,00:11:35,695801,1800999,Tyrannical,Inspiring,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10337720-5-tazavesh-soleahs-gambit
Ater,Stormrage,2022-10-31,20:10:50,Return to Karazhan: Upper,UPPR,2,3,45.0,00:15:24,924746,2100999,Tyrannical,not_active,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10331728-2-return-to-karazhan-upper
Ater,Stormrage,2022-10-25,06:06:12,Iron Docks,ID,20,1,150.5,00:28:41,1721780,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9882949-20-iron-docks
Ater,Stormrage,2022-10-22,08:42:32,Mechagon Junkyard,YARD,22,2,163.9,00:26:09,1569958,2280999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9755196-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-14,10:29:21,Mechagon Junkyard,YARD,22,1,161.6,00:33:01,1981207,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9361658-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-05,06:23:28,Tazavesh: Streets of Wonder,STRT,22,1,161.3,00:34:50,2090769,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8772637-22-tazavesh-streets-of-wonder
Ater,Stormrage,2022-11-04,20:38:24,Grimrail Depot,GD,13,2,119.1,00:20:13,1213097,1800999,Fortified,Sanguine,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10613853-13-grimrail-depot
Tauryy,Shattered-Halls,2022-10-26,09:53:35,Iron Docks,ID,15,2,127.7,00:23:30,1410017,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9923563-15-iron-docks
Tauryy,Shattered-Halls,2022-10-22,10:03:20,Iron Docks,ID,20,1,152.3,00:24:33,1473306,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756888-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,09:23:28,Iron Docks,ID,20,1,151.8,00:25:46,1546833,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715429-20-iron-docks
Tauryy,Shattered-Halls,2022-10-21,08:54:00,Return to Karazhan: Upper,UPPR,20,2,153.0,00:26:43,1603658,2100999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9715013-20-return-to-karazhan-upper
Tauryy,Shattered-Halls,2022-10-21,08:21:54,Grimrail Depot,GD,21,2,158.9,00:20:36,1236928,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9714644-21-grimrail-depot
Tauryy,Shattered-Halls,2022-10-13,03:47:53,Iron Docks,ID,17,1,136.6,00:26:15,1575768,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9301744-17-iron-docks
Tauryy,Shattered-Halls,2022-10-10,09:58:46,Grimrail Depot,GD,23,2,168.9,00:20:42,1242372,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9122769-23-grimrail-depot
Tauryy,Shattered-Halls,2022-10-10,09:22:11,Mechagon Workshop,WORK,22,1,162.0,00:26:54,1614169,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9121854-22-operation-mechagon-workshop
Tauryy,Shattered-Halls,2022-10-10,08:40:18,Tazavesh: So'leah's Gambit,GMBT,22,1,162.4,00:24:13,1453283,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9120504-22-tazavesh-soleahs-gambit
Tauryy,Shattered-Halls,2022-10-09,05:03:40,Grimrail Depot,GD,22,0,151.0,00:39:35,2375472,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9036557-22-grimrail-depot
Doofydoodler,Tichondrius,2022-10-22,08:02:59,Tazavesh: Streets of Wonder,STRT,20,2,153.4,00:28:26,1706030,2340999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9754579-20-tazavesh-streets-of-wonder
Doofydoodler,Tichondrius,2022-10-11,04:57:49,Mechagon Workshop,WORK,15,2,128.5,00:23:10,1390616,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9182574-15-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-10-02,00:00:04,Mechagon Workshop,WORK,22,0,154.8,00:32:33,1953560,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8537218-22-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-09-28,01:28:41,Mechagon Junkyard,YARD,22,2,163.8,00:26:20,1580923,2280999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8280530-22-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-27,08:45:53,Grimrail Depot,GD,16,2,134.9,00:18:09,1089102,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8221732-16-grimrail-depot
Doofydoodler,Tichondrius,2022-09-20,04:11:44,Return to Karazhan: Lower,LOWR,18,1,140.4,00:40:36,2436981,2520999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7610275-18-return-to-karazhan-lower
Doofydoodler,Tichondrius,2022-09-13,01:54:58,Mechagon Junkyard,YARD,17,2,138.6,00:27:01,1621893,2280999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6918933-17-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-05,07:43:45,Iron Docks,ID,15,1,127.1,00:24:59,1499260,1800999,Tyrannical,Raging,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6015301-15-iron-docks
Doofydoodler,Tichondrius,2022-08-30,07:33:56,Tazavesh: So'leah's Gambit,GMBT,15,2,127.7,00:23:35,1415230,1800999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/5193035-15-tazavesh-soleahs-gambit
Doofydoodler,Tichondrius,2022-08-23,05:23:26,Return to Karazhan: Upper,UPPR,15,3,130.0,00:20:22,1222374,2100999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3988041-15-return-to-karazhan-upper
Brindar,Tichondrius,2022-10-31,04:25:16,Mechagon Junkyard,YARD,2,3,45.0,00:15:47,947767,2280999,Tyrannical,not_active,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10292570-2-operation-mechagon-junkyard
Brindar,Tichondrius,2022-10-20,06:41:31,Return to Karazhan: Lower,LOWR,20,0,144.2,00:44:43,2683239,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9676582-20-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-14,09:34:36,Mechagon Junkyard,YARD,21,2,157.9,00:29:06,1746155,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9360628-21-operation-mechagon-junkyard
Brindar,Tichondrius,2022-10-11,06:35:21,Return to Karazhan: Lower,LOWR,15,1,127.0,00:35:18,2118486,2520999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9185889-15-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-01,00:59:28,Grimrail Depot,GD,22,1,161.0,00:27:29,1649940,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8464313-22-grimrail-depot
Brindar,Tichondrius,2022-09-26,05:36:31,Iron Docks,ID,22,1,160.2,00:29:26,1766526,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8137669-22-iron-docks
Brindar,Tichondrius,2022-09-26,04:59:15,Return to Karazhan: Upper,UPPR,21,1,156.7,00:30:21,1821084,2100999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8136036-21-return-to-karazhan-upper
Brindar,Tichondrius,2022-09-26,04:10:20,Grimrail Depot,GD,20,2,153.3,00:22:10,1330170,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8133771-20-grimrail-depot
Brindar,Tichondrius,2022-09-18,08:16:15,Mechagon Workshop,WORK,20,0,142.8,00:37:32,2252301,1920999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7423945-20-operation-mechagon-workshop
Brindar,Tichondrius,2022-09-14,02:04:38,Tazavesh: So'leah's Gambit,GMBT,21,0,147.4,00:36:19,2179181,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7029639-21-tazavesh-soleahs-gambit
Brindar,Tichondrius,2022-11-10,05:16:36,Return to Karazhan: Upper,UPPR,18,2,143.8,00:24:30,1470162,2100999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10967138-18-return-to-karazhan-upper
Brindar,Tichondrius,2022-11-10,04:39:14,Tazavesh: So'leah's Gambit,GMBT,17,2,138.0,00:22:55,1375745,1800999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10966115-17-tazavesh-soleahs-gambit
Brindar,Tichondrius,2022-11-10,04:04:18,Mechagon Junkyard,YARD,15,2,130.0,00:22:53,1373030,2280999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10964921-15-operation-mechagon-junkyard
Whizzletit,Tichondrius,2022-10-31,05:38:46,Tazavesh: Streets of Wonder,STRT,8,3,85.0,00:18:59,1139182,2340999,Tyrannical,Inspiring,Quaking,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10294959-8-tazavesh-streets-of-wonder
Whizzletit,Tichondrius,2022-10-31,05:09:18,Iron Docks,ID,5,3,65.0,00:13:15,795508,1800999,Tyrannical,Inspiring,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10293976-5-iron-docks
Whizzletit,Tichondrius,2022-10-30,20:02:38,Return to Karazhan: Upper,UPPR,14,0,113.8,00:38:28,2308289,2100999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10258497-14-return-to-karazhan-upper
Whizzletit,Tichondrius,2022-10-30,19:15:19,Tazavesh: Streets of Wonder,STRT,12,2,114.7,00:24:26,1466758,2340999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10253745-12-tazavesh-streets-of-wonder
Whizzletit,Tichondrius,2022-10-28,09:54:35,Return to Karazhan: Lower,LOWR,19,1,145.7,00:39:43,2383604,2520999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10060570-19-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-28,08:39:41,Tazavesh: So'leah's Gambit,GMBT,22,1,161.9,00:25:24,1524193,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10058719-22-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-10-22,09:29:00,Return to Karazhan: Lower,LOWR,20,1,151.1,00:38:09,2289257,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756017-20-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-13,01:35:55,Grimrail Depot,GD,24,1,171.7,00:25:50,1550181,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9297076-24-grimrail-depot
Whizzletit,Tichondrius,2022-10-11,07:19:30,Iron Docks,ID,18,1,142.3,00:24:29,1469414,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9187205-18-iron-docks
Whizzletit,Tichondrius,2022-10-04,09:38:57,Tazavesh: So'leah's Gambit,GMBT,25,1,175.3,00:29:14,1754538,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8709170-25-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-11-08,07:17:59,Iron Docks,ID,8,2,84.5,00:19:09,1149917,1800999,Fortified,Sanguine,Grievous,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10863694-8-iron-docks
Whizzletit,Tichondrius,2022-11-08,06:52:49,Grimrail Depot,GD,5,2,64.8,00:18:33,1113309,1800999,Fortified,Sanguine,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/10863243-5-grimrail-depot
Whizzletit,Tichondrius,2022-11-10,22:02:53,Iron Docks,ID,21,1,156.8,00:25:42,1542947,1800999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/10999219-21-iron-docks
Whizzletoot,Tichondrius,2022-10-14,03:59:03,Return to Karazhan: Lower,LOWR,17,1,136.1,00:38:13,2293200,2520999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9353358-17-return-to-karazhan-lower
Whizzletoot,Tichondrius,2022-10-12,05:24:36,Grimrail Depot,GD,15,2,129.0,00:20:29,1229016,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9248740-15-grimrail-depot
Whizzletoot,Tichondrius,2022-10-11,05:49:28,Tazavesh: Streets of Wonder,STRT,15,2,128.9,00:26:58,1618509,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9184331-15-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-10-08,05:05:24,Grimrail Depot,GD,5,2,64.9,00:18:15,1095638,1800999,Fortified,Raging,not_active,not_active,https://raider.io/mythic-plus-runs/season-sl-4-post/8962406-5-grimrail-depot
Whizzletoot,Tichondrius,2022-10-04,00:56:16,Mechagon Workshop,WORK,18,1,141.3,00:28:34,1714542,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8688378-18-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-30,02:52:21,Tazavesh: Streets of Wonder,STRT,16,2,133.8,00:27:04,1624115,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406850-16-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-09-30,02:05:28,Mechagon Workshop,WORK,15,1,126.7,00:27:39,1659948,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406917-15-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-28,07:31:11,Grimrail Depot,GD,17,1,135.2,00:29:38,1778501,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8293215-17-grimrail-depot
