character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Doofydoodler,Tichondrius,2022-10-22,08:02:59,Tazavesh: Streets of Wonder,STRT,20,2,153.4,0:28:26,1706030,2340999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9754579-20-tazavesh-streets-of-wonder
Doofydoodler,Tichondrius,2022-10-11,04:57:49,Mechagon Workshop,WORK,15,2,128.5,0:23:10,1390616,1920999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9182574-15-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-10-02,00:00:04,Mechagon Workshop,WORK,22,0,154.8,0:32:33,1953560,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8537218-22-operation-mechagon-workshop
Doofydoodler,Tichondrius,2022-09-28,01:28:41,Mechagon Junkyard,YARD,22,2,163.8,0:26:20,1580923,2280999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8280530-22-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-27,08:45:53,Grimrail Depot,GD,16,2,134.9,0:18:9,1089102,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8221732-16-grimrail-depot
Doofydoodler,Tichondrius,2022-09-20,04:11:44,Return to Karazhan: Lower,LOWR,18,1,140.4,0:40:36,2436981,2520999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7610275-18-return-to-karazhan-lower
Doofydoodler,Tichondrius,2022-09-13,01:54:58,Mechagon Junkyard,YARD,17,2,138.6,0:27:1,1621893,2280999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6918933-17-operation-mechagon-junkyard
Doofydoodler,Tichondrius,2022-09-05,07:43:45,Iron Docks,ID,15,1,127.1,0:24:59,1499260,1800999,Tyrannical,Raging,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6015301-15-iron-docks
Doofydoodler,Tichondrius,2022-08-30,07:33:56,Tazavesh: So'leah's Gambit,GMBT,15,2,127.7,0:23:35,1415230,1800999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/5193035-15-tazavesh-soleahs-gambit
Doofydoodler,Tichondrius,2022-08-23,05:23:26,Return to Karazhan: Upper,UPPR,15,3,130.0,0:20:22,1222374,2100999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3988041-15-return-to-karazhan-upper
Brindar,Tichondrius,2022-10-20,06:41:31,Return to Karazhan: Lower,LOWR,20,0,144.2,0:44:43,2683239,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9676582-20-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-14,09:34:36,Mechagon Junkyard,YARD,21,2,157.9,0:29:6,1746155,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9360628-21-operation-mechagon-junkyard
Brindar,Tichondrius,2022-10-11,06:35:21,Return to Karazhan: Lower,LOWR,15,1,127.0,0:35:18,2118486,2520999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9185889-15-return-to-karazhan-lower
Brindar,Tichondrius,2022-10-01,00:59:28,Grimrail Depot,GD,22,1,161.0,0:27:29,1649940,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8464313-22-grimrail-depot
Brindar,Tichondrius,2022-09-26,05:36:31,Iron Docks,ID,22,1,160.2,0:29:26,1766526,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8137669-22-iron-docks
Brindar,Tichondrius,2022-09-26,04:59:15,Return to Karazhan: Upper,UPPR,21,1,156.7,0:30:21,1821084,2100999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8136036-21-return-to-karazhan-upper
Brindar,Tichondrius,2022-09-26,04:10:20,Grimrail Depot,GD,20,2,153.3,0:22:10,1330170,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8133771-20-grimrail-depot
Brindar,Tichondrius,2022-09-18,08:16:15,Mechagon Workshop,WORK,20,0,142.8,0:37:32,2252301,1920999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7423945-20-operation-mechagon-workshop
Brindar,Tichondrius,2022-09-14,02:04:38,Tazavesh: So'leah's Gambit,GMBT,21,0,147.4,0:36:19,2179181,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7029639-21-tazavesh-soleahs-gambit
Brindar,Tichondrius,2022-09-13,01:19:06,Grimrail Depot,GD,16,3,135.0,0:16:57,1017153,1800999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6916051-16-grimrail-depot
Whizzletit,Tichondrius,2022-10-22,09:29:00,Return to Karazhan: Lower,LOWR,20,1,151.1,0:38:9,2289257,2520999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9756017-20-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-13,01:35:55,Grimrail Depot,GD,24,1,171.7,0:25:50,1550181,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9297076-24-grimrail-depot
Whizzletit,Tichondrius,2022-10-11,07:19:30,Iron Docks,ID,18,1,142.3,0:24:29,1469414,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9187205-18-iron-docks
Whizzletit,Tichondrius,2022-10-04,09:38:57,Tazavesh: So'leah's Gambit,GMBT,25,1,175.3,0:29:14,1754538,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8709170-25-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-10-04,07:59:04,Tazavesh: So'leah's Gambit,GMBT,25,0,168.6,0:33:25,2005589,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8706686-25-tazavesh-soleahs-gambit
Whizzletit,Tichondrius,2022-10-04,06:30:31,Mechagon Workshop,WORK,20,2,153.0,0:24:21,1461283,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8704539-20-operation-mechagon-workshop
Whizzletit,Tichondrius,2022-10-04,05:39:54,Tazavesh: Streets of Wonder,STRT,23,1,167.4,0:31:36,1896598,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8702845-23-tazavesh-streets-of-wonder
Whizzletit,Tichondrius,2022-10-03,03:49:16,Return to Karazhan: Lower,LOWR,24,0,161.7,0:53:4,3184158,2520999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8628696-24-return-to-karazhan-lower
Whizzletit,Tichondrius,2022-10-03,02:48:52,Mechagon Junkyard,YARD,22,2,164.3,0:24:57,1497478,2280999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8626106-22-operation-mechagon-junkyard
Whizzletit,Tichondrius,2022-10-03,02:07:29,Return to Karazhan: Upper,UPPR,23,1,165.3,0:34:12,2052431,2100999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8624229-23-return-to-karazhan-upper
